241 721
1 1 -2
2 1 1
3 1 1
1 2 1.025
2 2 -2.025
4 2 1
1 3 1
3 3 -1.975
5 3 0.975
2 4 1.05
4 4 -2.05
6 4 1
3 5 1
5 5 -1.95
7 5 0.95
4 6 1.075
6 6 -2.075
8 6 1
5 7 1
7 7 -1.925
9 7 0.925
6 8 1.1
8 8 -2.1
10 8 1
7 9 1
9 9 -1.9
11 9 0.9
8 10 1.125
10 10 -2.125
12 10 1
9 11 1
11 11 -1.875
13 11 0.875
10 12 1.15
12 12 -2.15
14 12 1
11 13 1
13 13 -1.85
15 13 0.85
12 14 1.175
14 14 -2.175
16 14 1
13 15 1
15 15 -1.825
17 15 0.825
14 16 1.2
16 16 -2.2
18 16 1
15 17 1
17 17 -1.8
19 17 0.8
16 18 1.225
18 18 -2.225
20 18 1
17 19 1
19 19 -1.775
21 19 0.775
18 20 1.25
20 20 -2.25
22 20 1
19 21 1
21 21 -1.75
23 21 0.75
20 22 1.275
22 22 -2.275
24 22 1
21 23 1
23 23 -1.725
25 23 0.725
22 24 1.3
24 24 -2.3
26 24 1
23 25 1
25 25 -1.7
27 25 0.7
24 26 1.325
26 26 -2.325
28 26 1
25 27 1
27 27 -1.675
29 27 0.675
26 28 1.35
28 28 -2.35
30 28 1
27 29 1
29 29 -1.65
31 29 0.65
28 30 1.375
30 30 -2.375
32 30 1
29 31 1
31 31 -1.625
33 31 0.625
30 32 1.4
32 32 -2.4
34 32 1
31 33 1
33 33 -1.6
35 33 0.6
32 34 1.425
34 34 -2.425
36 34 1
33 35 1
35 35 -1.575
37 35 0.575
34 36 1.45
36 36 -2.45
38 36 1
35 37 1
37 37 -1.55
39 37 0.55
36 38 1.475
38 38 -2.475
40 38 1
37 39 1
39 39 -1.525
41 39 0.525
38 40 1.5
40 40 -2.5
42 40 1
39 41 1
41 41 -1.5
43 41 0.5
40 42 1.525
42 42 -2.525
44 42 1
41 43 1
43 43 -1.475
45 43 0.475
42 44 1.55
44 44 -2.55
46 44 1
43 45 1
45 45 -1.45
47 45 0.45
44 46 1.575
46 46 -2.575
48 46 1
45 47 1
47 47 -1.425
49 47 0.425
46 48 1.6
48 48 -2.6
50 48 1
47 49 1
49 49 -1.4
51 49 0.4
48 50 1.625
50 50 -2.625
52 50 1
49 51 1
51 51 -1.375
53 51 0.375
50 52 1.65
52 52 -2.65
54 52 1
51 53 1
53 53 -1.35
55 53 0.35
52 54 1.675
54 54 -2.675
56 54 1
53 55 1
55 55 -1.325
57 55 0.325
54 56 1.7
56 56 -2.7
58 56 1
55 57 1
57 57 -1.3
59 57 0.3
56 58 1.725
58 58 -2.725
60 58 1
57 59 1
59 59 -1.275
61 59 0.275
58 60 1.75
60 60 -2.75
62 60 1
59 61 1
61 61 -1.25
63 61 0.25
60 62 1.775
62 62 -2.775
64 62 1
61 63 1
63 63 -1.225
65 63 0.225
62 64 1.8
64 64 -2.8
66 64 1
63 65 1
65 65 -1.2
67 65 0.2
64 66 1.825
66 66 -2.825
68 66 1
65 67 1
67 67 -1.175
69 67 0.175
66 68 1.85
68 68 -2.85
70 68 1
67 69 1
69 69 -1.15
71 69 0.15
68 70 1.875
70 70 -2.875
72 70 1
69 71 1
71 71 -1.125
73 71 0.125
