7 179404
Pa Pb Da Db BDa BDb ES
0 0 1 1 0 0 300
1 0 1 1 0 0 299
2 0 1 1 0 0 298
0 0 1 0 0 1 298
1 0 1 0 0 1 297
3 0 1 1 0 0 297
4 0 1 1 0 0 296
2 0 1 0 0 1 296
3 0 1 0 0 1 295
5 0 1 1 0 0 295
6 0 1 1 0 0 294
4 0 1 0 0 1 294
5 0 1 0 0 1 293
7 0 1 1 0 0 293
8 0 1 1 0 0 292
6 0 1 0 0 1 292
7 0 1 0 0 1 291
9 0 1 1 0 0 291
10 0 1 1 0 0 290
8 0 1 0 0 1 290
9 0 1 0 0 1 289
11 0 1 1 0 0 289
12 0 1 1 0 0 288
10 0 1 0 0 1 288
11 0 1 0 0 1 287
13 0 1 1 0 0 287
14 0 1 1 0 0 286
12 0 1 0 0 1 286
13 0 1 0 0 1 285
15 0 1 1 0 0 285
16 0 1 1 0 0 284
14 0 1 0 0 1 284
15 0 1 0 0 1 283
17 0 1 1 0 0 283
18 0 1 1 0 0 282
16 0 1 0 0 1 282
17 0 1 0 0 1 281
19 0 1 1 0 0 281
20 0 1 1 0 0 280
18 0 1 0 0 1 280
19 0 1 0 0 1 279
21 0 1 1 0 0 279
22 0 1 1 0 0 278
20 0 1 0 0 1 278
21 0 1 0 0 1 277
23 0 1 1 0 0 277
24 0 1 1 0 0 276
22 0 1 0 0 1 276
23 0 1 0 0 1 275
25 0 1 1 0 0 275
26 0 1 1 0 0 274
24 0 1 0 0 1 274
25 0 1 0 0 1 273
27 0 1 1 0 0 273
28 0 1 1 0 0 272
26 0 1 0 0 1 272
27 0 1 0 0 1 271
29 0 1 1 0 0 271
30 0 1 1 0 0 270
28 0 1 0 0 1 270
29 0 1 0 0 1 269
31 0 1 1 0 0 269
32 0 1 1 0 0 268
30 0 1 0 0 1 268
31 0 1 0 0 1 267
33 0 1 1 0 0 267
34 0 1 1 0 0 266
32 0 1 0 0 1 266
33 0 1 0 0 1 265
35 0 1 1 0 0 265
36 0 1 1 0 0 264
34 0 1 0 0 1 264
35 0 1 0 0 1 263
37 0 1 1 0 0 263
38 0 1 1 0 0 262
36 0 1 0 0 1 262
37 0 1 0 0 1 261
39 0 1 1 0 0 261
40 0 1 1 0 0 260
38 0 1 0 0 1 260
39 0 1 0 0 1 259
